,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,paysandu,-32.3214,-58.0756,52.61,80,89,18.84,UY,1648189360
358,cabo rojo,18.0866,-67.1457,75.67,82,0,7.7,PR,1648189543
359,shirgaon,19.7,72.7,86.59,46,61,5.37,IN,1648189544
360,bad durrheim,48.0167,8.5333,44.94,68,5,1.79,DE,1648189545
361,buraydah,26.326,43.975,61.25,21,0,9.08,SA,1648189545
362,porto belo,-27.1578,-48.5531,69.26,91,86,5.32,BR,1648189546
363,hasaki,35.7333,140.8333,64.29,43,11,10.33,JP,1648189547
364,olga,43.7444,135.2892,39.97,92,100,8.39,RU,1648189548
365,lekoni,-1.5843,14.2591,78.12,66,57,1.25,GA,1648189548
366,iqaluit,63.7506,-68.5145,10.13,72,75,2.3,CA,1648189549
